,City,Cloudiness (%),Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Oranjestad,20,AW,1583987322,74,12.52,-70.03,299.15,8.7
1,Linxia Chengguanzhen,66,CN,1583987323,29,35.6,103.21,274.53,3.14
2,Koshurnikovo,100,RU,1583987324,82,54.17,93.3,265.32,1.04
3,Albany,90,US,1583987325,55,42.6,-73.97,275.93,2.6
4,Ushuaia,90,AR,1583987045,93,-54.8,-68.3,281.15,1.5
5,Dikson,82,RU,1583987328,99,73.51,80.55,247.69,4.88
6,Yellowknife,40,CA,1583987331,70,62.46,-114.35,253.15,3.6
7,Sitka,75,US,1583987332,86,57.05,-135.33,274.15,4.1
8,Auki,100,SB,1583987196,81,-8.77,160.7,300.65,4.94
9,Temba,73,ZA,1583987334,82,-25.38,28.26,293.71,1.5
10,Testour,20,TN,1583987111,100,36.55,9.44,279.15,3.1
11,Leningradskiy,100,RU,1583987336,82,69.38,178.42,252.72,6.52
12,Cidreira,1,BR,1583987337,85,-30.18,-50.21,297.18,10.55
13,Boshnyakovo,0,RU,1583987338,57,49.63,142.17,267.6,2.5
14,Bethel,1,US,1583987340,55,41.37,-73.41,279.26,0.84
15,Castro,1,BR,1583987341,96,-24.79,-50.01,290.18,3.82
16,Caucayá,100,CO,1583987342,90,-0.19,-74.78,296.8,0.76
17,Sri Aman,75,MY,1583987343,70,1.24,111.46,303.15,1.0
18,Merauke,100,ID,1583987344,68,-8.47,140.33,303.69,4.91
19,Jamestown,90,US,1583987345,93,42.1,-79.24,277.59,1.69
20,Clyde River,1,CA,1583987346,74,70.47,-68.59,241.15,2.1
21,Tocopilla,0,CL,1583987347,49,-22.09,-70.2,290.32,1.97
22,Thompson,90,CA,1583987001,57,55.74,-97.86,266.15,4.1
23,Klaksvík,99,FO,1583987349,93,62.23,-6.59,275.15,3.1
24,Hermanus,94,ZA,1583987351,87,-34.42,19.23,289.26,0.45
25,Port Alfred,100,ZA,1583986878,95,-33.59,26.89,292.59,1.79
26,Rikitea,4,PF,1583987353,76,-23.12,-134.97,298.51,5.42
27,Hilo,90,US,1583987135,83,19.73,-155.09,294.82,2.6
28,Lorengau,100,PG,1583987355,72,-2.02,147.27,302.14,4.85
29,Saint Charles,1,US,1583987356,87,38.78,-90.48,283.15,3.6
30,Safi,0,MA,1583987357,68,32.3,-9.24,284.68,0.57
31,Vredendal,77,ZA,1583987358,84,-31.67,18.5,289.95,3.04
32,Punta Arenas,75,CL,1583987359,87,-53.15,-70.92,281.15,2.6
33,Prince Albert,90,CA,1583987360,68,53.2,-105.77,270.15,6.7
34,Atuona,4,PF,1583987362,75,-9.8,-139.03,301.08,5.2
35,Atikokan,100,CA,1583987363,97,48.76,-91.62,273.06,4.48
36,Kudahuvadhoo,61,MV,1583987365,72,2.67,72.89,301.6,5.02
37,Vaini,90,TO,1583987366,100,-21.2,-175.2,298.15,1.0
38,Arraial do Cabo,0,BR,1583987367,73,-22.97,-42.03,297.61,4.95
39,Butaritari,100,KI,1583987368,74,3.07,172.79,300.1,0.59
40,Salalah,75,OM,1583987369,60,17.02,54.09,297.15,1.0
41,Santana do Livramento,100,BR,1583987370,52,-30.89,-55.53,297.52,2.89
42,Mataura,1,NZ,1583987134,74,-46.19,168.86,288.15,4.47
43,Ulaanbaatar,0,MN,1583987373,66,47.91,106.88,261.15,4.0
44,Kabare,100,CD,1583987374,96,-2.47,28.82,289.06,0.97
45,Kaupanger,96,NO,1583987376,94,61.18,7.24,267.0,3.81
46,Hithadhoo,16,MV,1583987377,73,-0.6,73.08,301.74,6.18
47,Naze,75,JP,1583987378,59,28.37,129.48,290.15,2.6
48,Cayenne,0,GF,1583987379,88,4.93,-52.33,295.15,2.52
49,Dakar,0,SN,1583987381,78,14.69,-17.44,297.15,7.2
50,Saldanha,65,ZA,1583987382,87,-33.01,17.94,289.15,5.1
51,Cape Town,75,ZA,1583987299,100,-33.93,18.42,290.37,4.6
52,Laguna,1,US,1583987385,67,38.42,-121.42,290.93,2.1
53,Norsup,40,VU,1583987386,66,-16.07,167.38,304.15,4.6
54,Marsh Harbour,74,BS,1583987387,77,26.54,-77.06,295.45,6.09
55,George Town,20,MY,1583987368,66,5.41,100.34,305.15,4.6
56,Tasiilaq,95,GL,1583987389,65,65.61,-37.64,260.15,1.5
57,Souillac,75,MU,1583987390,94,-20.52,57.52,301.48,2.42
58,Lebu,67,CL,1583987391,95,-37.62,-73.65,284.16,0.91
59,Chokurdakh,0,RU,1583987392,89,70.63,147.92,244.0,1.19
60,Kapaa,90,US,1583987393,73,22.08,-159.32,298.15,4.6
61,Monrovia,48,LR,1583987230,87,6.3,-10.8,300.12,0.67
62,Saskylakh,98,RU,1583987396,91,71.92,114.08,255.47,8.94
63,Iquitos,68,PE,1583987397,94,-3.75,-73.25,297.15,1.0
64,Khao Yoi,0,TH,1583987398,62,13.24,99.82,305.15,3.6
65,Tulun,100,RU,1583987399,67,54.56,100.58,270.14,5.27
66,Valente,100,BR,1583987400,86,-11.41,-39.46,297.21,4.45
67,Zyryanka,100,RU,1583987404,93,65.75,150.85,248.37,12.72
68,Axum,96,ET,1583987406,42,14.12,38.72,295.62,2.83
69,New Richmond,1,US,1583987407,86,45.12,-92.54,279.15,2.6
70,Taltal,15,CL,1583987408,91,-25.4,-70.48,287.28,0.44
71,Slave Lake,90,CA,1583987409,85,55.28,-114.77,268.15,3.1
72,Todos Santos,75,MX,1583987410,41,23.45,-110.22,299.15,3.1
73,Tortolì,5,IT,1583987411,87,39.93,9.66,285.15,3.1
74,Tautira,40,PF,1583986897,70,-17.73,-149.15,303.15,4.1
75,Broken Hill,79,AU,1583987415,28,-31.95,141.43,303.15,6.2
76,Katherine,2,AU,1583987416,41,-14.47,132.27,308.15,3.1
77,Tabou,87,CI,1583987420,95,4.42,-7.35,298.41,1.36
78,Englehart,90,CA,1583987421,100,47.82,-79.87,268.15,3.1
